accuracy,n_estimators,max_depth,max_feature,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5981324083335106,327,22,23,21,8,12,ica,mx
0.5374752612202337,94,4,28,10,31,11,ica,rb
0.5713030154710477,418,7,15,6,12,4,pca,std
0.5666374412121471,19,21,21,4,18,16,ica,mx
0.5430124917537401,69,11,22,41,47,19,pca,pt
0.5441773956715116,311,30,19,49,48,17,ica,norm
0.5602183396820668,45,23,2,50,13,9,ica,norm
0.5844263795194825,378,8,30,29,6,6,ica,std
0.5205507437594433,193,3,27,50,38,19,pca,rb
0.5473848183694751,176,21,4,7,48,15,ica,rb
0.5438892553893299,274,19,29,48,31,20,pca,norm
0.5453491094039284,102,5,28,35,17,7,pca,std
0.58034304441276,307,29,29,41,6,20,pca,mx
0.5453465557234364,143,25,22,40,45,14,ica,rb
0.558761890574791,327,30,10,8,32,13,ica,mx
0.5368832329595028,87,6,27,13,49,17,ica,norm
0.5529263050371348,97,28,12,15,27,3,ica,norm
0.5844272307463131,446,30,16,16,13,3,pca,mx
0.584423400225575,394,30,10,20,12,14,pca,pt
0.5339690579047052,65,20,2,6,38,5,ica,norm
0.5713000361771403,220,26,15,29,20,2,ica,std
0.573926922176587,142,10,25,14,18,3,pca,mx
0.5293043348726352,269,4,24,8,27,14,pca,pt
0.5756753420867826,202,18,24,6,15,11,pca,mx
0.5753842225106937,224,14,20,2,16,9,pca,mx
0.5966704262518355,159,25,12,28,1,15,ica,std
0.5231789065991361,427,10,1,28,41,3,pca,mx
0.5683850098955119,425,13,2,43,12,9,ica,norm
0.5514690047030283,282,14,10,26,35,8,ica,std
0.5465135877082845,369,22,26,2,47,5,ica,mx
0.5575927305228661,400,21,7,40,28,10,ica,norm
0.6100849098763594,198,27,14,16,7,3,pca,std
0.5083058458002596,351,3,14,39,27,6,pca,pt
0.5727569108978315,483,14,13,45,1,13,pca,norm
0.5188099848907238,175,3,30,25,40,3,ica,std
0.5482624332318954,234,28,2,8,32,7,pca,std
0.5759639079823796,63,19,24,36,16,5,ica,std
0.5123883296801516,55,3,5,48,25,17,ica,norm
0.5847149454150795,436,22,11,18,15,3,ica,rb
0.5596369517567193,83,30,21,44,22,16,pca,rb
0.48176714690047023,375,4,1,42,47,10,ica,norm
0.546806409738035,209,11,2,4,43,5,pca,rb
0.5412602413228065,445,5,19,10,23,3,ica,norm
0.5103534719414357,16,3,25,39,12,13,ica,std
0.592883318082186,70,14,13,24,5,8,ica,rb
0.5441799493520036,490,30,15,37,47,14,ica,mx
0.5707165201847163,300,22,21,29,9,18,ica,pt
0.4753535783447894,262,2,3,25,5,6,pca,pt
0.5465127364814538,320,15,24,45,50,6,ica,std
0.566926007107744,286,26,9,4,18,5,pca,rb
0.5132680726096487,230,3,6,45,4,5,pca,norm
0.5538043455129705,294,5,29,40,10,8,pca,mx
0.5605094592581559,95,19,10,22,28,15,ica,std
0.5368866378668256,120,7,2,10,33,4,ica,norm
0.5386363346172671,39,4,27,9,33,17,pca,mx
0.5605107360984019,192,15,13,19,29,10,pca,mx
0.5806286310144495,145,27,11,3,12,11,pca,norm
0.5724649400949119,81,17,17,24,14,17,pca,norm
0.6039628865101827,346,17,22,2,7,11,pca,mx
0.5508859143240195,277,28,19,28,30,8,pca,rb
0.5707233299993615,11,10,18,27,4,5,ica,mx
0.5928790619480326,119,25,22,25,9,2,pca,std
0.5745095869421804,113,20,23,46,14,18,ica,mx
0.5584699197718712,95,19,20,25,22,11,pca,rb
0.5680955927730842,406,22,22,39,20,5,pca,mx
0.5272575599582898,95,29,23,7,31,19,ica,pt
0.5403877338213701,269,17,2,24,35,8,pca,pt
0.5447647421846737,324,21,28,4,50,10,ica,mx
0.5485535528079846,102,21,5,10,43,9,pca,pt
0.5637181587963653,397,29,26,16,16,3,pca,norm
0.5575957098167734,425,18,21,14,32,6,ica,std
0.5826775339958715,112,27,24,37,6,20,ica,std
0.5354335936668724,267,20,2,16,39,13,pca,norm
0.4954770062352366,149,2,16,24,21,16,ica,norm
0.5675107999404141,323,14,20,13,8,5,ica,pt
0.540092783724543,157,9,12,19,49,16,pca,rb
0.5161835245046924,442,15,9,49,43,2,ica,pt
0.5558404800919325,460,21,30,12,27,6,ica,norm
0.5488459492243196,67,11,30,14,27,19,pca,norm
0.6138771254069928,330,17,18,4,5,14,pca,pt
0.5444736226085846,37,19,11,17,36,14,pca,std
0.574218041752676,126,28,8,46,18,11,pca,mx
0.5470945500202166,152,14,18,37,48,19,ica,std
0.5698406077759571,494,10,5,46,12,8,pca,pt
0.5753816688302016,68,9,25,35,7,13,pca,pt
0.5809265604051841,361,11,7,33,16,12,ica,mx
0.6202919708029198,203,20,18,14,2,11,ica,rb
0.5240556702347258,208,5,2,18,36,4,pca,mx
0.5196837692324062,117,3,17,31,41,19,ica,std
0.5330999553105914,173,11,23,49,46,6,pca,norm
0.556134578961929,318,6,7,23,8,4,ica,norm
0.5718873826903025,45,30,21,4,19,5,pca,mx
0.5173492796492946,156,4,3,35,41,2,ica,rb
0.5456368240726948,391,5,28,44,22,15,pca,pt
0.5470941244068013,383,29,14,12,36,18,pca,rb
0.5430112149134941,15,14,9,22,38,8,pca,pt
0.5217228831052754,329,7,1,42,32,17,pca,norm
0.5713025898576324,456,18,30,20,21,14,ica,rb
0.5800493711561788,58,21,24,10,12,15,pca,std
0.5756740652465366,221,28,1,41,4,14,ica,mx
0.5176331637973228,293,25,18,44,29,12,ica,pt
0.5485535528079846,253,14,15,16,43,7,pca,mx
0.547969611202145,348,25,23,18,40,12,ica,mx
0.5450554361473474,421,8,4,7,49,20,ica,rb
0.5473895001170436,195,12,25,45,47,15,ica,mx
0.4861471345576812,367,2,7,26,34,19,pca,norm
0.5549675469770807,154,12,22,33,26,4,pca,pt
0.5593437041135537,353,30,26,50,31,9,ica,std
0.5505943691345152,217,23,24,38,26,6,pca,norm
0.5555536166499968,187,5,14,3,4,20,ica,std
0.5549688238173267,366,20,12,6,31,6,pca,std
0.5546798323083144,182,5,12,35,13,10,pca,mx
0.5558438849992552,44,12,4,28,27,10,ica,mx
0.5602191909088975,483,8,29,17,14,17,pca,norm
0.5864642165521057,120,22,6,32,4,8,pca,std
0.5331008065374221,263,5,17,22,32,15,pca,norm
0.5520550743759444,371,24,29,49,22,15,pca,norm
0.5400970398586964,313,4,25,39,8,8,ica,mx
0.527555063735609,32,4,24,9,35,14,ica,norm
0.5823796046051373,450,18,29,38,2,11,pca,norm
0.5485527015811538,166,22,25,16,38,12,ica,norm
0.5500117043689217,359,18,24,29,30,15,pca,rb
0.5371790342831606,14,5,4,37,41,9,ica,rb
0.5485527015811538,265,24,24,37,35,2,pca,pt
0.5715958375007981,483,24,8,19,22,14,ica,std
0.5584699197718713,472,14,29,9,19,6,pca,norm
0.5695507650401141,179,24,27,37,22,17,pca,std
0.5573024621736078,165,21,17,9,23,2,pca,rb
0.5870498606116065,138,17,25,4,14,12,ica,rb
0.5476789172394714,14,11,5,19,33,18,pca,pt
0.472143601966334,112,1,14,17,32,3,ica,std
