accuracy,n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.6281705007341831,51,0.20303030303030303,28,6,13,9,pca,pt
0.6086276095422527,278,0.38616161616161615,20,25,9,11,ica,mx
0.6010312613053564,408,0.4307070707070707,11,27,17,17,pca,pt
0.5867591666489328,450,0.16838383838383839,2,12,41,15,pca,norm
0.44769764422974606,304,0.33666666666666667,11,37,42,9,pca,mx
0.5870524142920985,169,0.2673737373737374,11,14,49,19,ica,std
0.6342946521674364,198,0.17333333333333334,7,9,11,9,pca,std
0.6179625885807921,402,0.0891919191919192,19,44,33,6,pca,norm
0.5841395160775468,51,0.32181818181818184,30,48,33,13,pca,std
0.6170828456512949,252,0.13373737373737374,10,30,3,4,ica,std
0.46985252495158647,181,0.306969696969697,30,30,40,18,pca,mx
0.38471451980166416,442,0.4257575757575758,26,43,35,6,ica,pt
0.536322700091507,252,0.3812121212121212,13,17,25,3,ica,norm
0.5631401757783405,294,0.4406060606060606,2,28,10,9,ica,mx
0.5788785086505926,290,0.33171717171717174,5,26,41,8,pca,std
0.5949190270477325,145,0.3564646464646465,2,18,32,5,pca,std
0.6010419016407397,398,0.049595959595959596,9,44,49,19,ica,pt
0.5829639718243919,183,0.16343434343434343,3,42,5,3,ica,pt
0.6214607052414293,231,0.19808080808080808,29,46,32,12,pca,std
0.59492839054287,153,0.15353535353535352,3,6,34,11,pca,mx
0.5969606946010938,203,0.3762626262626263,5,42,28,13,pca,mx
0.6060049796769594,249,0.01,12,6,47,16,pca,rb
0.5444689408610159,376,0.5,2,18,46,4,pca,mx
0.5325262284267199,410,0.09414141414141414,23,24,7,7,ica,pt
0.4782983975654913,109,0.4257575757575758,27,44,45,20,ica,std
0.6223327871294503,210,0.12878787878787878,23,17,6,6,pca,mx
0.4756004341256837,461,0.2772727272727272,12,27,40,11,ica,std
0.5774250388372242,408,0.059494949494949496,2,9,8,7,pca,mx
0.6182524313166351,444,0.15848484848484848,30,28,3,11,pca,norm
0.6150471366857484,257,0.25252525252525254,4,47,45,6,pca,norm
0.6121295567236279,453,0.1386868686868687,20,12,29,13,ica,mx
0.26654465748760403,295,0.46535353535353535,14,32,41,5,ica,pt
0.6141673937562512,393,0.207979797979798,13,10,44,20,ica,rb
0.6054189100040432,122,0.22282828282828285,14,15,34,13,ica,pt
0.6205830903790087,236,0.09414141414141414,24,34,22,10,ica,std
0.41349109403928413,261,0.41090909090909095,16,3,33,5,pca,norm
0.5695422527718074,482,0.39606060606060606,3,26,25,7,pca,rb
0.5278619310080653,318,0.3713131313131313,18,46,30,8,ica,std
0.6176646591900578,177,0.04464646464646464,12,41,27,14,ica,rb
0.6074597263305739,346,0.207979797979798,21,31,34,17,ica,rb
0.5421561575620863,466,0.2723232323232323,20,27,30,4,pca,pt
0.6185367410780787,350,0.049595959595959596,8,31,37,8,ica,std
0.6176723202315337,248,0.2723232323232323,21,11,38,17,pca,rb
0.6130054691323871,403,0.1881818181818182,16,14,41,6,pca,norm
0.6097891085527015,185,0.22282828282828285,20,15,6,19,ica,rb
0.5596526994530867,255,0.15848484848484848,20,7,27,2,pca,norm
0.5990023621544551,253,0.4406060606060606,6,14,21,12,ica,norm
0.4998467791704795,65,0.2673737373737374,1,46,21,11,ica,pt
0.5768398203911387,188,0.13373737373737374,2,5,23,13,ica,rb
0.5943453001638611,293,0.2822222222222222,10,26,10,11,ica,norm
0.6033780936775128,300,0.3465656565656566,6,4,5,20,ica,mx
0.62991423889681,116,0.09414141414141414,29,46,38,6,pca,std
0.6147479304547678,215,0.0693939393939394,6,43,19,17,ica,rb
0.6022212764146325,46,0.38616161616161615,28,14,38,12,ica,std
