accuracy,n_estimators,max_depth,max_feature,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.6263333270403444,339,28,7,31,21,4,ica,norm
0.6529479506881384,129,28,13,29,6,13,pca,norm
0.587475378680612,239,13,23,32,26,2,pca,mx
0.6078813393997746,205,9,4,46,16,7,pca,mx
0.5979443951493641,111,8,17,19,8,18,ica,std
0.5690208738444499,113,25,5,30,45,15,ica,norm
0.719304687647492,132,25,16,6,5,11,pca,pt
0.6524127319753064,448,23,27,48,2,15,pca,pt
0.5553606826634446,485,8,13,21,42,6,ica,std
0.6281074779588061,217,19,23,31,14,16,pca,mx
0.5658282832096762,427,30,14,47,42,6,ica,std
0.5748791746115653,45,11,26,5,29,17,pca,norm
0.6715816483855337,253,21,26,18,9,14,ica,norm
0.5693775289949466,469,23,14,5,43,5,pca,rb
0.5523414638750967,268,25,27,13,39,2,ica,pt
0.5718626303435342,314,29,9,20,43,13,ica,std
0.5573140264431397,163,16,27,24,37,13,pca,norm
0.6032687358014436,30,11,25,26,25,14,ica,mx
0.5676040073753832,298,14,19,40,37,2,ica,norm
0.557132316386314,289,20,11,18,38,15,ica,pt
0.7033341828868458,293,24,18,17,2,5,ica,std
0.6087699094438885,184,25,2,49,31,5,ica,norm
0.3674616284996885,181,2,10,38,33,4,ica,mx
0.46309822726500405,375,3,29,40,10,20,pca,mx
0.5668949448419516,261,8,20,44,23,19,pca,norm
0.5521630576374861,192,6,14,36,14,16,pca,pt
0.5537654099567673,419,12,16,12,37,11,pca,norm
0.5734558578287929,458,19,23,34,35,5,pca,std
0.5548300263676238,11,26,24,35,32,16,pca,norm
0.4302719515188129,414,4,22,34,3,11,ica,norm
0.5237750696948529,24,16,13,27,48,17,pca,norm
0.6423002133323266,356,13,26,18,14,11,pca,std
0.5727524589854442,187,9,3,47,50,20,ica,rb
0.5296292800191307,75,5,17,11,1,6,ica,pt
0.6224299433001693,283,23,6,25,24,4,ica,norm
0.46966181477216234,379,4,26,40,49,9,pca,rb
0.5656514502193108,428,10,21,49,44,5,pca,rb
0.6229626448174089,371,12,7,38,15,10,ica,norm
0.7382893768053012,320,16,6,4,3,3,ica,mx
0.45014174957679653,183,4,25,13,5,19,pca,pt
0.6229621728432353,357,11,14,46,15,4,ica,rb
0.5633468003297526,459,29,19,15,34,17,pca,norm
0.3699435833537855,399,2,22,50,46,11,pca,rb
0.6784957553789324,204,28,13,17,7,11,pca,mx
0.587650009124834,12,28,24,43,25,13,pca,pt
0.3600044365572316,427,1,4,25,3,10,pca,norm
0.606461483760942,260,30,21,27,27,18,ica,mx
0.5954594511255011,234,7,12,14,1,4,pca,mx
0.6671402140874851,330,27,14,2,9,18,pca,mx
0.6270428615479495,101,25,23,31,20,13,ica,std
0.6202961480614447,319,15,4,33,22,17,pca,std
0.6146236477939928,190,12,30,39,14,19,pca,norm
0.448546476870119,500,4,16,11,49,16,ica,norm
0.6025588866443895,397,23,27,47,30,8,ica,std
0.672463453466493,370,27,16,27,4,4,pca,std
0.6075278307437684,294,27,4,44,33,20,ica,rb
0.6206572083042282,129,27,4,42,19,7,pca,norm
0.4315116703480652,416,3,9,38,17,4,pca,std
0.30022025461433416,218,1,2,2,26,19,pca,std
0.5791362243324711,201,10,16,37,27,13,pca,mx
0.5951032679491778,63,20,26,3,26,16,pca,std
0.5095824916460571,299,5,22,45,5,6,ica,mx
0.6456712102047109,450,9,8,9,8,4,pca,std
0.5690259082356347,295,24,29,10,45,13,ica,rb
0.6302340362602024,211,16,30,13,15,9,ica,std
0.6999677484314725,301,16,15,11,5,3,pca,norm
0.438613308413097,431,5,18,21,49,6,ica,norm
0.5642303359826817,432,12,10,35,47,13,pca,pt
0.6478017016242206,273,17,6,50,4,19,ica,pt
0.6181713203320182,422,15,8,23,27,13,ica,std
0.5825050186587124,177,28,8,31,30,19,pca,std
0.6038009653445096,382,13,13,24,27,4,ica,mx
0.5656490903484428,311,29,30,47,41,7,ica,pt
0.5853437859880308,345,21,4,26,33,8,pca,std
0.4444654735159559,197,3,9,49,46,4,ica,mx
0.6009581075723537,42,13,27,42,27,15,pca,pt
0.5636998370115853,218,8,28,29,31,14,pca,mx
0.6169297136060713,210,30,20,39,14,15,pca,norm
0.5743491476146425,421,15,17,46,45,8,ica,std
0.5349583404129459,34,6,25,45,28,11,ica,mx
0.7515966886291983,240,21,3,3,1,18,pca,mx
0.7515966886291983,240,21,3,3,1,18,pca,mx
0.7375814155449414,320,16,6,4,3,3,ica,mx
0.719304687647492,132,25,16,6,5,11,pca,pt
0.7079499329796674,293,24,18,17,2,5,ica,std
0.6999677484314725,301,16,15,11,5,3,pca,norm
0.6784957553789324,204,28,13,17,7,11,pca,mx
0.672463453466493,370,27,16,27,4,4,pca,std
0.6722892949964445,253,21,26,18,9,14,ica,norm
0.6671402140874851,330,27,14,2,9,18,pca,mx
0.6529479506881384,129,28,13,29,6,13,pca,norm
0.6524127319753064,448,23,27,48,2,15,pca,pt
0.6476254979327531,273,17,6,50,4,19,ica,pt
0.6456712102047109,450,9,8,9,8,4,pca,std
0.6423002133323266,356,13,26,18,14,11,pca,std
0.648866003385628,211,16,30,13,15,9,ica,std
0.6281074779588061,217,19,23,31,14,16,pca,mx
0.6289947894051238,101,25,23,31,20,13,ica,std
0.6206551630828094,339,28,7,31,21,4,ica,norm
0.639996035416942,371,12,7,38,15,10,ica,norm
0.6210129195063779,357,11,14,46,15,4,ica,rb
0.6167519366673588,283,23,6,25,24,4,ica,norm
0.6206572083042282,129,27,4,42,19,7,pca,norm
0.6202961480614447,319,15,4,33,22,17,pca,std
0.6064616410856665,422,15,8,23,27,13,ica,std
0.6169297136060713,210,30,20,39,14,15,pca,norm
0.6146236477939928,190,12,30,39,14,19,pca,norm
0.6114302705355963,184,25,2,49,31,5,ica,norm
0.7515966886291983,240,21,3,3,1,18,pca,mx
0.7368698358159175,320,16,6,4,3,3,ica,mx
0.719304687647492,132,25,16,6,5,11,pca,pt
0.703870660197474,293,24,18,17,2,5,ica,std
0.6999677484314725,301,16,15,11,5,3,pca,norm
0.6784957553789324,204,28,13,17,7,11,pca,mx
0.672463453466493,370,27,16,27,4,4,pca,std
0.6687384759639285,253,21,26,18,9,14,ica,norm
0.6671402140874851,330,27,14,2,9,18,pca,mx
0.7515966886291983,240,21,3,3,1,18,pca,mx
0.7361618745555576,320,16,6,4,3,3,ica,mx
0.719304687647492,132,25,16,6,5,11,pca,pt
0.7515966886291983,240,21,3,3,1,18,pca,mx
0.5975904145191843,93,16,20,18,22,10,pca,norm
0.591204446626014,372,16,17,23,35,9,ica,std
0.6353831171691618,411,8,2,34,7,2,ica,mx
0.5961697722567287,55,24,24,46,28,3,pca,rb
0.5638755687288791,22,29,1,45,29,3,ica,norm
0.5998950644087422,376,11,24,47,1,17,ica,norm
0.5345999546904793,405,6,25,20,29,6,pca,pt
0.551279521984557,152,28,1,16,40,15,pca,norm
0.5248388994820871,211,5,23,38,4,14,pca,std
0.61497684180055,323,10,19,15,13,9,pca,mx
