accuracy,C,kernel,degree,n_comp,dim_red,scaler
0.43161030835691944,4.2,sigmoid,10,13,ica,norm
0.5258028133046754,6.6,linear,2,5,ica,pt
0.5272579855717053,3.1,poly,4,8,ica,mx
0.5176378455448916,0.1,linear,9,11,pca,std
0.516471664786874,8.6,linear,9,6,ica,mx
0.5144304228469282,9.799999999999999,linear,6,6,ica,norm
0.4861403247430359,1.2,poly,10,6,ica,std
0.5115115660445617,2.8,poly,7,12,ica,rb
0.5491374944138239,1.0,rbf,4,5,pca,mx
0.5240501372603263,3.6,poly,8,14,pca,std
0.3931169798472048,2.4,sigmoid,3,19,pca,norm
0.5613896278010684,2.4,rbf,3,10,ica,mx
0.39690621608393095,9.6,sigmoid,6,19,ica,pt
0.42665446574876037,1.5,sigmoid,3,8,pca,pt
0.45610393479602485,1.2,poly,9,14,pca,norm
0.5182217871507311,4.8,linear,8,8,pca,mx
0.5540958907024749,3.1,rbf,7,16,pca,mx
0.5164712391734587,5.8,poly,1,11,ica,rb
0.516471664786874,4.1000000000000005,linear,1,8,ica,rb
0.568679959992339,4.699999999999999,rbf,3,3,ica,mx
0.43015300802281287,8.2,sigmoid,6,19,pca,pt
0.3913668574833479,7.5,sigmoid,10,6,pca,norm
0.5170547551658828,6.300000000000001,linear,3,10,pca,rb
0.5164712391734587,6.199999999999999,poly,1,20,ica,rb
0.517638271158307,3.7,linear,4,16,pca,rb
0.5616811729905726,0.8,rbf,9,2,ica,rb
0.5182217871507311,7.8,linear,10,18,pca,mx
0.568679959992339,4.699999999999999,rbf,3,3,ica,mx
0.5616811729905726,0.8,rbf,9,2,ica,rb
0.5613896278010684,2.4,rbf,3,10,ica,mx
0.5540958907024749,3.1,rbf,7,16,pca,mx
0.5491374944138239,1.0,rbf,4,5,pca,mx
0.526966440382201,3.1,poly,4,8,ica,mx
0.5258028133046754,6.6,linear,2,5,ica,pt
0.5240501372603263,3.6,poly,8,14,pca,std
0.5182217871507311,4.8,linear,8,8,pca,mx
0.568679959992339,4.699999999999999,rbf,3,3,ica,mx
0.5616811729905726,0.8,rbf,9,2,ica,rb
0.5613896278010684,2.4,rbf,3,10,ica,mx
0.568679959992339,4.699999999999999,rbf,3,3,ica,mx
0.5234721542423018,3.2,linear,8,20,pca,pt
0.3910753122938435,7.1000000000000005,sigmoid,4,2,pca,norm
0.5071320040007661,2.9999999999999996,poly,8,8,pca,pt
0.5167636355897938,6.500000000000001,linear,1,17,ica,std
0.4633980975080334,0.30000000000000004,poly,10,12,ica,pt
0.5532255112681151,4.2,rbf,10,3,pca,mx
0.5170547551658828,7.9,linear,3,15,pca,std
0.39135408908088787,4.4,sigmoid,1,17,pca,mx
0.5727611670319849,7.1000000000000005,rbf,6,17,ica,std
0.4934370411355366,5.8,rbf,8,6,pca,norm
0.5275542125087782,5.0,poly,9,7,pca,mx
0.42519461173416195,6.8999999999999995,sigmoid,8,8,ica,norm
0.5724696218424805,7.1000000000000005,rbf,6,17,ica,std
0.5532255112681151,4.2,rbf,10,3,pca,mx
0.5275542125087782,5.0,poly,9,7,pca,mx
0.5234721542423018,3.2,linear,8,20,pca,pt
0.5724696218424805,7.1000000000000005,rbf,6,17,ica,std
0.5607997276074141,9.6,rbf,9,6,pca,rb
0.42286097337788087,9.700000000000001,sigmoid,8,5,pca,pt
0.4129454576408248,8.4,sigmoid,10,15,ica,mx
0.516471664786874,7.300000000000001,linear,3,11,ica,std
0.559058117511864,1.5,rbf,3,9,ica,mx
0.516471664786874,5.2,linear,2,7,ica,std
0.5607997276074141,9.6,rbf,9,6,pca,rb
0.559058117511864,1.5,rbf,3,9,ica,mx
0.4100300057457811,8.7,sigmoid,7,9,ica,std
0.39894873486412286,4.3,sigmoid,8,16,ica,pt
0.5619680364325083,4.2,rbf,4,4,pca,rb
0.442398331595412,0.8,sigmoid,10,19,ica,mx
