accuracy,C,kernel,degree,n_comp,dim_red,scaler
0.5619739950203232,2.8,rbf,5,10,ica,mx
0.5231806090527973,5.2,linear,5,13,pca,pt
0.39135536592113385,1.2,sigmoid,4,7,pca,mx
0.5295946032218936,2.1,poly,6,8,pca,std
0.3922419186652763,6.6,sigmoid,3,17,pca,norm
0.563720286863442,8.9,rbf,8,13,pca,std
0.5234721542423018,5.1000000000000005,linear,1,11,pca,pt
0.5485586601689685,9.0,rbf,9,20,pca,mx
0.44327254155050966,4.6,linear,10,6,pca,norm
0.5202604754101849,8.4,poly,8,19,pca,mx
0.5500163861164904,7.4,rbf,3,16,pca,mx
0.3980736736821945,8.6,sigmoid,5,19,ica,pt
0.41615713647294167,6.500000000000001,sigmoid,1,8,ica,rb
0.387272882041242,5.8,sigmoid,5,10,pca,mx
0.47535145027771275,8.4,poly,2,14,ica,norm
0.5724683450022345,9.4,rbf,5,3,ica,rb
0.5252205741524973,2.1999999999999997,linear,6,17,ica,pt
0.5167636355897938,7.8,linear,10,7,ica,std
0.5007201378987466,2.8,poly,9,13,ica,std
0.558761890574791,3.2,rbf,9,10,ica,norm
0.5144312740737588,2.1999999999999997,poly,1,8,ica,norm
0.5581792258091974,5.0,rbf,9,16,ica,norm
0.4275273988636122,6.300000000000001,sigmoid,8,2,ica,norm
0.571594560660552,5.7,rbf,4,8,ica,mx
0.4686463365325276,5.8,poly,6,16,ica,pt
0.5158872975676193,0.30000000000000004,linear,8,18,pca,std
0.4686480389861888,0.4,sigmoid,7,5,ica,norm
0.516471664786874,3.5,linear,4,16,ica,rb
0.5707190738652084,8.799999999999999,rbf,8,3,ica,mx
0.40128279883381934,1.9000000000000001,sigmoid,1,15,ica,pt
0.3916588282862676,6.500000000000001,sigmoid,5,19,pca,norm
0.5176382711583069,3.8000000000000003,linear,5,15,pca,mx
0.47565278457576976,4.6,poly,9,9,ica,pt
0.571885680236641,7.4,rbf,2,11,ica,mx
0.5619710157264157,7.5,rbf,7,5,pca,std
0.5018918516311633,0.1,sigmoid,8,15,ica,mx
0.5508867655508503,0.30000000000000004,rbf,9,4,ica,mx
0.45610138111553267,0.5,poly,8,12,pca,norm
0.49256155434019283,4.2,rbf,10,17,pca,norm
0.46602455789406483,7.1000000000000005,poly,9,8,pca,norm
0.42402289800174503,1.5,sigmoid,4,7,pca,std
0.39778127726585943,9.9,sigmoid,6,4,pca,rb
0.525511268115171,5.6,linear,1,6,ica,pt
0.5663429167287353,5.6,rbf,2,11,pca,rb
0.5718861058500564,7.000000000000001,rbf,8,3,ica,mx
0.4744780915494456,9.799999999999999,poly,2,5,ica,pt
0.399823370432636,6.800000000000001,sigmoid,9,5,pca,rb
0.4622272350024472,7.4,poly,3,16,pca,norm
0.5654687067736376,6.500000000000001,rbf,7,11,pca,rb
0.515886871954204,0.6000000000000001,linear,6,14,pca,rb
0.5237636994318061,8.3,linear,1,19,pca,pt
0.527839799110468,7.1000000000000005,poly,5,19,pca,rb
0.525511268115171,9.0,linear,10,20,ica,pt
0.4179055563831372,6.699999999999999,sigmoid,5,12,ica,rb
0.40419825072886295,7.199999999999999,sigmoid,10,11,pca,rb
0.3907833414909238,4.0,sigmoid,5,7,pca,norm
0.41323870528399054,5.0,sigmoid,1,19,ica,std
0.5715962631142133,5.0,rbf,1,9,ica,rb
0.4517311825668745,1.1,poly,1,10,pca,norm
0.4144044604285927,5.1000000000000005,sigmoid,7,11,ica,std
0.5628422463876062,7.1000000000000005,rbf,5,6,pca,pt
0.5170551807792982,0.1,linear,2,16,ica,std
0.5185137579536507,4.699999999999999,linear,2,18,pca,mx
0.3852324913281267,1.9000000000000001,sigmoid,8,13,pca,mx
0.3878568236470813,8.4,sigmoid,7,11,pca,mx
0.42169777191377067,4.3,sigmoid,1,20,pca,pt
0.3910753122938435,9.9,sigmoid,3,19,pca,norm
0.5167636355897938,10.0,linear,6,5,ica,mx
0.5715932838203059,9.299999999999999,rbf,8,16,ica,std
0.520838884041625,6.0,poly,6,18,ica,std
0.5608039837415676,5.2,rbf,1,4,pca,std
0.4149884020344321,5.8,sigmoid,1,18,ica,std
0.516471664786874,10.0,linear,3,19,pca,std
0.5246383350003192,3.7,poly,3,9,ica,rb
0.4231499648868932,2.9999999999999996,sigmoid,4,4,pca,std
0.516471664786874,4.3,linear,1,2,ica,std
0.4412283203166564,0.7000000000000001,sigmoid,4,8,ica,mx
0.551182566874508,5.4,rbf,4,16,pca,mx
0.5170547551658828,8.4,linear,6,16,pca,std
0.5234721542423018,5.8999999999999995,linear,8,18,pca,pt
0.5645932199782938,6.300000000000001,rbf,9,7,pca,rb
0.5724683450022345,9.4,rbf,5,3,ica,rb
0.5718861058500564,7.000000000000001,rbf,8,3,ica,mx
0.571885680236641,7.4,rbf,2,11,ica,mx
0.5715962631142133,5.0,rbf,1,9,ica,rb
0.571594560660552,5.7,rbf,4,8,ica,mx
0.5715932838203059,9.299999999999999,rbf,8,16,ica,std
0.5707190738652084,8.799999999999999,rbf,8,3,ica,mx
0.5663429167287353,5.6,rbf,2,11,pca,rb
0.5654687067736376,6.500000000000001,rbf,7,11,pca,rb
0.5645932199782938,6.300000000000001,rbf,9,7,pca,rb
0.563720286863442,8.9,rbf,8,13,pca,std
0.5628422463876062,7.1000000000000005,rbf,5,6,pca,pt
0.5619739950203232,2.8,rbf,5,10,ica,mx
0.5619710157264157,7.5,rbf,7,5,pca,std
0.5608039837415676,5.2,rbf,1,4,pca,std
0.558761890574791,3.2,rbf,9,10,ica,norm
0.5581792258091974,5.0,rbf,9,16,ica,norm
0.551182566874508,5.4,rbf,4,16,pca,mx
0.5508867655508503,0.30000000000000004,rbf,9,4,ica,mx
0.5500163861164904,7.4,rbf,3,16,pca,mx
0.5485586601689685,9.0,rbf,9,20,pca,mx
0.5295946032218936,2.1,poly,6,8,pca,std
0.527839799110468,7.1000000000000005,poly,5,19,pca,rb
0.525511268115171,5.6,linear,1,6,ica,pt
0.525511268115171,9.0,linear,10,20,ica,pt
0.5252205741524973,2.1999999999999997,linear,6,17,ica,pt
0.5246383350003192,3.7,poly,3,9,ica,rb
0.5724683450022345,9.4,rbf,5,3,ica,rb
0.5718861058500564,7.000000000000001,rbf,8,3,ica,mx
0.571885680236641,7.4,rbf,2,11,ica,mx
0.5718878083037178,5.0,rbf,1,9,ica,rb
0.571594560660552,5.7,rbf,4,8,ica,mx
0.5715932838203059,9.299999999999999,rbf,8,16,ica,std
0.5710106190547127,8.799999999999999,rbf,8,3,ica,mx
0.5663429167287353,5.6,rbf,2,11,pca,rb
0.5654687067736376,6.500000000000001,rbf,7,11,pca,rb
